#TYPE Selected.System.String
"CreationTime","EventId","User","Source Network Address"
"2021-06-04 14:28:32","25"," WIN-QT89RHEA1UU\hoang"," LOCAL"
"2021-06-04 14:24:54","24"," HOANGND31\administrator"," 192.168.81.1"
"2021-06-04 14:24:16","25"," HOANGND31\administrator"," 192.168.81.1"
"2021-06-04 14:24:15","24"," WIN-QT89RHEA1UU\hoang"," 192.168.81.1"
"2021-06-04 14:23:40","25"," WIN-QT89RHEA1UU\hoang"," 192.168.81.1"
"2021-06-04 14:23:28","24"," HOANGND31\user_1"," LOCAL"
"2021-06-04 14:15:22","25"," HOANGND31\user_1"," LOCAL"
"2021-06-04 14:15:21","24"," WIN-QT89RHEA1UU\hoang"," LOCAL"
"2021-06-04 14:13:57","25"," WIN-QT89RHEA1UU\hoang"," LOCAL"
"2021-06-04 14:08:17","24"," HOANGND31\user_1"," 192.168.81.1"
"2021-06-04 13:55:51","25"," HOANGND31\user_1"," 192.168.81.1"
"2021-06-04 13:55:51","24"," WIN-QT89RHEA1UU\hoang"," 192.168.81.1"
"2021-06-04 13:54:46","25"," WIN-QT89RHEA1UU\hoang"," 192.168.81.1"
"2021-06-04 13:54:30","24"," WIN-QT89RHEA1UU\hoang"," 192.168.81.1"
"2021-06-04 14:38:53","1149"," hoang"," 192.168.81.1"
"2021-06-04 14:23:39","1149"," hoang"," 192.168.81.1"
"2021-06-04 13:54:45","1149"," hoang"," 192.168.81.1"
