#TYPE Selected.System.String
"CreationTime","LastAccessTime","LastWriteTime","Attributes","Owner","FullName","Sign","MD5"
"2019-12-07 16:14:52","2021-06-03 10:17:30","2021-05-10 14:50:31","<Dir>","NT AUTHORITY\SYSTEM","C:\$Recycle.Bin",,
"2020-10-08 09:55:42","2021-06-03 10:17:30","2020-10-08 09:55:42","<Dir>","NT AUTHORITY\SYSTEM","C:\$WinREAgent",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Documents and Settings",,
"2021-04-29 18:17:20","2021-05-13 14:58:13","2021-04-29 18:17:20","<Dir>",,"C:\MSOCache",,
"2019-12-07 16:14:52","2021-06-04 08:54:55","2021-05-06 17:22:58","<Dir>","NT AUTHORITY\SYSTEM","C:\ProgramData",,
"2020-10-08 23:42:18","2021-06-03 10:17:42","2020-10-08 23:42:18","<Dir>","BUILTIN\Administrators","C:\Recovery",,
"2020-10-08 23:40:18","2021-06-04 08:54:45","2021-03-01 10:41:18","<Dir>",,"C:\System Volume Information",,
"2021-05-07 11:03:45","2021-06-03 10:53:18","2021-05-07 11:03:45","","BUILTIN\Administrators","C:\BITB70A.tmp",,
"2021-04-13 09:06:54","2021-06-03 10:53:18","2021-04-13 09:06:54","","BUILTIN\Administrators","C:\bootTel.dat",,"5698840DD282D85BEA57DDCF1DFF6A1B"
"2020-10-08 23:40:19","2021-06-04 08:54:54","2021-06-04 08:54:54","<Dir>",,"C:\DumpStack.log.tmp",,
"2020-10-08 23:40:19","2021-06-04 08:54:52","2021-06-04 08:54:52","<Dir>",,"C:\pagefile.sys",,
"2020-10-08 23:40:19","2021-06-04 08:54:54","2021-06-04 08:54:54","<Dir>",,"C:\swapfile.sys",,
"2020-10-08 14:34:40","2021-05-13 14:58:13","2020-10-08 14:34:40","<Dir>",,"C:\$Recycle.Bin\S-1-5-18",,
"2020-10-08 09:52:00","2021-06-04 08:55:11","2021-05-12 17:08:55","<Dir>","DESKTOP-16IICHS\huyhv9","C:\$Recycle.Bin\S-1-5-21-11049384-3601598548-1102589311-1001",,
"2021-05-10 14:46:34","2021-05-13 14:58:13","2021-05-10 14:46:34","<Dir>",,"C:\$Recycle.Bin\S-1-5-21-11049384-3601598548-1102589311-1003",,
"2021-05-10 14:50:31","2021-05-13 14:58:13","2021-05-10 14:50:31","<Dir>",,"C:\$Recycle.Bin\S-1-5-21-11049384-3601598548-1102589311-1005",,
